glyph_name,ps_name,USV,DesignerOrder,bcp47tags,Feat
qafThreedotsabove-ar.init,uni06A8.init,,955,,
qafDotbelow-ar,uni08A5,08A5,960,,
qafDotbelow-ar.fina,uni08A5.fina,,961,,
qafDotbelow-ar.medi,uni08A5.medi,,962,,
qafDotbelow-ar.init,uni08A5.init,,963,,
qafAfrican-ar,uni08BC,08BC,964,,
qafAfrican-ar.fina,uni08BC.fina,,965,,
qafAfrican-ar.medi,uni08BC.medi,,966,,
qafAfrican-ar.init,uni08BC.init,,967,,
qafAfricanThreedotsabove-ar,uni08C4,08C4,968,,
qafAfricanThreedotsabove-ar.fina,uni08C4.fina,,969,,
qafAfricanThreedotsabove-ar.medi,uni08C4.medi,,970,,
qafAfricanThreedotsabove-ar.init,uni08C4.init,,971,,
kaf-ar,uni0643,0643,976,,
kaf-ar.fina,uni0643.fina,,977,,
kaf-ar.medi,uni0643.medi,,978,,
kaf-ar.init,uni0643.init,,979,,
kafDotbelow-ar,uni08B4,08B4,980,,
kafDotbelow-ar.fina,uni08B4.fina,,981,,
kafDotbelow-ar.medi,uni08B4.medi,,982,,
kafDotbelow-ar.init,uni08B4.init,,983,,
keheh-ar,uni06A9,06A9,984,,
keheh-ar.fina,uni06A9.fina,,985,,
keheh-ar.medi,uni06A9.medi,,986,,
keheh-ar.init,uni06A9.init,,987,,
kehehTwodotshorizontalabove-ar,uni063B,063B,988,,
kehehTwodotshorizontalabove-ar.fina,uni063B.fina,,989,,
kehehTwodotshorizontalabove-ar.medi,uni063B.medi,,990,,
kehehTwodotshorizontalabove-ar.init,uni063B.init,,991,,
kehehThreedotsbelow-ar,uni063C,063C,992,,
kehehThreedotsbelow-ar.fina,uni063C.fina,,993,,
kehehThreedotsbelow-ar.medi,uni063C.medi,,994,,
kehehThreedotsbelow-ar.init,uni063C.init,,995,,
kehehDotabove-ar,uni0762,0762,996,,
kehehDotabove-ar.fina,uni0762.fina,,997,,
kehehDotabove-ar.medi,uni0762.medi,,998,,
kehehDotabove-ar.init,uni0762.init,,999,,
kehehThreedotsabove-ar,uni0763,0763,1000,,
kehehThreedotsabove-ar.fina,uni0763.fina,,1001,,
kehehThreedotsabove-ar.medi,uni0763.medi,,1002,,
kehehThreedotsabove-ar.init,uni0763.init,,1003,,
kehehThreedotsupbelow-ar,uni0764,0764,1008,,
kehehThreedotsupbelow-ar.fina,uni0764.fina,,1010,,
kehehThreedotsupbelow-ar.medi,uni0764.medi,,1012,,
kehehThreedotsupbelow-ar.init,uni0764.init,,1014,,
kehehVabove-ar,uni08C2,08C2,1016,,
kehehVabove-ar.fina,uni08C2.fina,,1017,,
kehehVabove-ar.medi,uni08C2.medi,,1018,,
kehehVabove-ar.init,uni08C2.init,,1019,,
gaf-ar,uni06AF,06AF,1020,,
gaf-ar.fina,uni06AF.fina,,1021,,
gaf-ar.medi,uni06AF.medi,,1022,,
gaf-ar.init,uni06AF.init,,1023,,
gafRing-ar,uni06B0,06B0,1024,,
gafRing-ar.fina,uni06B0.fina,,1025,,
gafRing-ar.medi,uni06B0.medi,,1026,,
gafRing-ar.init,uni06B0.init,,1027,,
gafThreedots-ar,uni06B4,06B4,1028,,
gafThreedots-ar.fina,uni06B4.fina,,1029,,
gafThreedots-ar.medi,uni06B4.medi,,1030,,
gafThreedots-ar.init,uni06B4.init,,1031,,
kafswash-ar,uni06AA,06AA,1032,,
kafswash-ar.fina,uni06AA.fina,,1033,,
kafswash-ar.medi,uni06AA.medi,,1034,,
kafswash-ar.init,uni06AA.init,,1035,,
kafRing-ar,uni06AB,06AB,1036,,
kafRing-ar.fina,uni06AB.fina,,1037,,
kafRing-ar.medi,uni06AB.medi,,1038,,
kafRing-ar.init,uni06AB.init,,1039,,
kafDotabove-ar,uni06AC,06AC,1040,,
kafDotabove-ar.fina,uni06AC.fina,,1041,,
kafDotabove-ar.medi,uni06AC.medi,,1042,,
kafDotabove-ar.init,uni06AC.init,,1043,,
kafTwodotshorizontalabove-ar,uni077F,077F,1044,,
kafTwodotshorizontalabove-ar.fina,uni077F.fina,,1045,,
kafTwodotshorizontalabove-ar.medi,uni077F.medi,,1046,,
kafTwodotshorizontalabove-ar.init,uni077F.init,,1047,,
kafThreedotsbelow-ar,uni06AE,06AE,1048,,
kafThreedotsbelow-ar.fina,uni06AE.fina,,1049,,
